,Tweet
63,@hwan37126518 เชงเม้งเกิดหลัง โซตัส เราเห็นทุกอย่างเหมือนคุณ แค่เราเลือกที่จะให้กำลังใจ ซัพพอร์ต ในแบบของเรา ต่อให้เราไปต่อปากต่อคำ แซะกันไปมา คนไม่เข้าใจ ยังไงเขาก็ไม่เข้าใจหรอกค่ะ
64,บางคนอาจจะไม่ได้รุ้จักน้องตอนโซตัส ถ้าน้องไม่ได้มีก้าวแรกตรงนั้น เราอาจไม่ได้เห็นก้าวต่อไปผลงาน ของน้องจนตอนนี้ก็ได้ ไม่ชอบอะไรก็แค่เลื่อนผ่าน โฟกัส แค่คนของตัวเอง ถ้าน้องอ่านน้องคงไม่โอเค ที่มีคนด่าแซะ เพื่อนร่วมงาน คนรอบข้างน้อง
65,"เมนเราน้องสิงโต100% เราก็เอ็นดูน้องคริส ติดตาม ซัพพอร์ต ทั้ง2คน 
ก้าวแรกของน้องคือ โซตัส. น้องเติมโตมาพร้อมกัน. ไม่มีคริสก็ไม่มีสิง ไม่มีสิงก็ไม่มีคริสในวันนี้ปฏิเสธไม่ได้หรอก น้องมาไกลขนาดนี้ไม่ได้
ถ้าน้องไม่มีกันและกัน คนนอกด้อมด่าแซะน้อง คนในด้อมยังจะมาแซะกันไปมาอีก"
66,ตอนประถมเราก็โดนไปคัดหลีด แล้วคือไปถึงแม่งโซตัส โซตัสเด็กประถมโดยเด็กม.ต้นแม่งโคสตลกอ่ะ สรุปหนีการเป็นหลีดไปขอครูทำสแตนแทน อะไรก็ไม่รู้โคสไร้สาระ 
67,ทีมN ยุคนี้ของนัมบะโครตโซตัส มีบูมเอารุ่นเฉย 55555555 
68,"ปุ๋ยออสโมโค้ท ออสโมโค้ทพลัส ขนาด 1 กก ของแท้ 100% จาก โซตัส ครับ [DRBCCDP]

"
69,"ในโซตัส พี่อาทิตย์เข้ามานั่งคุยกับก้องภพ
ในบรรยากาศรัก พี่พายุมาเซ็นบนไม้บรรทัดที่เรนลืมไว้บนโต๊ะ....นี่ก็ลืมของซะเยอะเลย 

ชอบความอะไรแบบนี้ "
70,@burgerx3x โซตัส
71,อยากกลับไปไทเปเลย วันนี้เพิ่งนั่งเสิร์ชหารูปตัวเองจากตอนไปแฟนมีทโซตัส encore อยู่เลย
72,@IElse173 @fafangsmile ช่วยด้วยค่ะโดนโซตัส 
73,คณะนี่ก็ไม่มีโซตัส ไม่รู้จะมีไปทำไม เกิดห่างกันแค่ปีเดียวจะมาวางท่าว่าโตกว่ามากมายอะไรขนาดนั้น
74,เห็นในTiktok วัยทำงานออกมาพูดว่าทำงานกับเด็กรุ่นใหม่ยากมาก อยากให้ทำแบบนั้นแบบนี้ อยากให้เป็นแบบนั้นแบบนี้ซึ่งก็วกมาแต่เรื่องโซตัส เรื่องอาวุโสกว่า ถ้าคนทำงานเก่งจริงต่อให้อายุเท่าไหร่ก็คุยงานกันได้นะ ไม่ต้องเอาอายุมาข่มมากหรอก อายุมันของฟรี มีกันทุกคน
75,"โซตัส, ชุมนุมวรรณศิลป์ จัดงานเสวนาวิชาการ ถูกขัดขวาง, จักรวาลโยงบังกะโล-คุณหมี-ห่มแดน ประเด็นสิ่งแวดล้อม  ป่าโหว่ , กยศ , อธิการได้เป็น สว. , ประวัติศาสตร์เจ้าชายาดารารัสมี-สามกษัตริย์ถูกลบทำลาย , ล้านนาแยกประเทศ #คาธ "
76,@litlbeinbigwood ดูโซตัส ss1-2 แล้ว แนะนำ our skyy อาทิตย์ก้องภพ ต่อเลยคร๊า 
77,"ปุ๋ยออสโมโค้ท ออสโมโค้ทพลัส ขนาด 1 กก ของแท้ 100% จาก โซตัส ครับ [TFCVRNE]

"
78,มันจะมีพวกที่ ต่อต้านระบบเผด็จการ แต่สนับสนุนโซตัส เอ๊ะยังไง ทุกวันนี้ก็คือชุบตัวเนียนๆกันไปเนาะ 
79,"คนไทยยอมให้เขาละเมิดสิทธิ์เพราะระบบการศึกษาระบบโซตัส แต่ก่อนเคยสงสัยว่าเพราะอะไร 
เวลามีคนมาแซงคิวในเซเว่น แต่คนไทยทั้งแถวพากันเงียบ จนดิฉันต้องบอกให้เขาไปต่อท้ายแถว "
